,census_tract,count
829,36047057500.0,629
830,36047057600.0,60
831,36047057800.0,407
832,36047057900.0,11
833,36047058000.0,313
834,36047058200.0,263
835,36047058400.0,454
836,36047058600.0,79
837,36047058800.0,232
838,36047058900.0,106
839,36047059000.0,86
840,36047059100.0,396
841,36047059200.0,514
842,36047059300.0,363
843,36047059401.0,60
844,36047059402.0,352
845,36047059600.0,235
846,36047059800.0,107
847,36047060000.0,270
848,36047060600.0,598
849,36047060800.0,115
850,36047061002.0,209
851,36047061003.0,452
852,36047061004.0,870
853,36047061200.0,55
854,36047061600.0,27
855,36047062000.0,30
856,36047062200.0,370
857,36047062600.0,295
858,36047062800.0,141
859,36047063200.0,230
860,36047063600.0,39
861,36047063800.0,20
862,36047064000.0,134
863,36047064200.0,215
864,36047064400.0,87
865,36047064600.0,113
866,36047064800.0,242
867,36047065000.0,202
868,36047065200.0,59
869,36047065400.0,22
870,36047065600.0,55
871,36047065800.0,57
872,36047066000.0,109
873,36047066200.0,46
874,36047066600.0,18
875,36047067000.0,257
876,36047067200.0,194
877,36047067400.0,188
878,36047067600.0,123
879,36047067800.0,249
880,36047068000.0,153
881,36047068200.0,391
882,36047068600.0,115
883,36047068800.0,237
884,36047069000.0,209
885,36047069200.0,327
886,36047069601.0,388
887,36047069602.0,203
888,36047069800.0,55
889,36047070000.0,143
890,36047070201.0,184
891,36047070600.0,37
892,36047072000.0,196
893,36047072200.0,345
894,36047072400.0,87
895,36047072600.0,147
896,36047072800.0,289
897,36047073000.0,96
898,36047073200.0,280
899,36047073400.0,131
900,36047073600.0,611
901,36047073800.0,474
902,36047074000.0,499
903,36047074200.0,663
904,36047074400.0,19
905,36047074600.0,59
906,36047074800.0,100
907,36047075000.0,43
908,36047075200.0,15
909,36047075400.0,21
910,36047075600.0,82
911,36047075800.0,79
912,36047076000.0,127
913,36047076200.0,816
914,36047076400.0,421
915,36047076600.0,779
916,36047076800.0,178
917,36047077000.0,466
918,36047077200.0,275
919,36047077400.0,495
920,36047077600.0,251
921,36047078000.0,391
922,36047078200.0,753
923,36047078400.0,282
924,36047078600.0,906
925,36047078800.0,432
926,36047079000.0,971
927,36047079200.0,684
928,36047079400.0,336
929,36047079601.0,2110
930,36047079602.0,1410
931,36047079801.0,650
932,36047079802.0,1568
933,36047080000.0,912
934,36047080200.0,1190
935,36047080400.0,527
936,36047080600.0,449
937,36047080800.0,490
938,36047081000.0,63
939,36047081400.0,259
940,36047081600.0,321
941,36047081800.0,1001
942,36047082000.0,1822
943,36047082200.0,2404
944,36047082400.0,462
945,36047082600.0,787
946,36047082800.0,696
947,36047083000.0,1580
948,36047083200.0,163
949,36047083400.0,124
950,36047083600.0,250
951,36047083800.0,202
952,36047084000.0,157
953,36047084600.0,352
954,36047084800.0,207
955,36047085000.0,65
956,36047085200.0,57
957,36047085400.0,378
958,36047085600.0,679
959,36047085800.0,532
960,36047086000.0,547
961,36047086200.0,312
962,36047086400.0,256
963,36047086600.0,686
964,36047086800.0,587
965,36047087000.0,139
966,36047087200.0,241
967,36047087401.0,1022
968,36047087600.0,305
969,36047087800.0,231
970,36047088000.0,334
971,36047088200.0,748
972,36047088400.0,1428
973,36047088600.0,1317
974,36047088800.0,318
975,36047089000.0,874
976,36047089200.0,789
977,36047089400.0,491
978,36047089600.0,641
979,36047089800.0,309
980,36047090000.0,1010
981,36047090200.0,258
982,36047090600.0,284
983,36047090800.0,1163
984,36047091000.0,1288
985,36047091200.0,1259
986,36047091600.0,502
987,36047091800.0,398
988,36047092000.0,601
989,36047092200.0,247
990,36047092400.0,152
991,36047092800.0,329
992,36047093000.0,138
993,36047093200.0,76
994,36047093400.0,222
995,36047093600.0,119
996,36047093800.0,259
997,36047094401.0,121
998,36047094402.0,1021
999,36047094600.0,104
1000,36047095000.0,479
1001,36047095400.0,352
1002,36047095600.0,393
1003,36047095800.0,283
1004,36047096000.0,38
1005,36047096200.0,190
1006,36047096400.0,423
1007,36047096600.0,200
1008,36047096800.0,236
1009,36047097000.0,270
1010,36047097400.0,474
1011,36047098200.0,1037
1012,36047098400.0,431
1013,36047098600.0,215
1014,36047098800.0,280
1015,36047099000.0,252
1016,36047099200.0,187
1017,36047099400.0,299
1018,36047099600.0,371
1019,36047099800.0,113
1020,36047100400.0,276
1021,36047100600.0,228
1022,36047100800.0,236
1023,36047101000.0,144
1024,36047101200.0,189
1025,36047101400.0,320
1026,36047101600.0,118
1027,36047101800.0,47
1028,36047102000.0,450
1029,36047102200.0,762
1030,36047102400.0,365
1031,36047102600.0,311
1032,36047102800.0,11
1033,36047103400.0,484
1034,36047105801.0,118
1035,36047105804.0,78
1036,36047107000.0,1
1037,36047107800.0,254
1038,36047109800.0,80
1039,36047110400.0,657
1040,36047110600.0,969
1041,36047111000.0,1231
1042,36047111600.0,70
1043,36047111800.0,507
1044,36047112000.0,322
1045,36047112200.0,437
1046,36047112400.0,277
1047,36047112600.0,384
1048,36047112800.0,721
1049,36047113000.0,576
1050,36047113200.0,278
1051,36047113400.0,371
