,census_tract,day_of_week,Pickup_longitude,Pickup_latitude,Passenger_count,Trip_distance,Total_amount,year,ride
1712,36081056500,116,-3105.357048034668,1711.6621704101562,69,124.26999999999998,582.58,84588,42
1713,36081056600,197,-6209.967582702637,3424.644069671631,132,333.14,1783.42,169176,84
1714,36081056700,58,-1330.774314880371,733.7429847717285,29,61.52,295.4,36252,18
1715,36081056800,231,-7540.838714599609,4157.0668296813965,159,329.86,1563.7299999999996,205428,102
1716,36081057700,335,-14639.646171569824,8069.699394226074,282,572.7500000000002,2811.6999999999994,398772,198
1717,36081057900,111,-2218.2046966552734,1222.4704055786133,38,113.95,475.46000000000004,60420,30
1718,36081058000,152,-3992.1652908325195,2200.4114837646484,79,196.82000000000005,901.03,108756,54
1719,36081058100,292,-12125.042068481445,6683.892925262451,264,473.69999999999993,2268.2,330296,164
1720,36081058200,42,-887.294807434082,488.84911346435547,19,36.260000000000005,170.50000000000003,24168,12
1721,36081058300,300,-10647.378639221191,5868.209869384766,224,436.68000000000006,2146.52,290016,144
1722,36081058500,396,-22771.24821472168,12552.959732055664,463,1049.2600000000007,4764.079999999999,620312,308
1723,36081058700,371,-16930.747817993164,9331.809837341309,341,723.44,3444.9799999999996,461206,229
1724,36081058900,293,-14564.416809082031,8027.660762786865,308,617.1500000000002,2886.4700000000003,396758,197
1725,36081059100,311,-13380.670700073242,7376.496448516846,256,614.9499999999999,2790.5500000000006,364534,181
1726,36081059200,56,-1848.2325973510742,1019.4137001037598,40,87.78,423.93,50350,25
1727,36081059300,298,-11976.8462600708,6603.3552894592285,222,451.87,2287.7499999999995,326268,162
1728,36081059500,460,-43695.02422332764,24086.49822998047,865,1756.0800000000002,8616.439999999997,1190274,591
1729,36081059800,23,-443.6006622314453,244.55549240112305,10,14.219999999999999,72.5,12084,6
1730,36081059900,218,-5323.176803588867,2934.9729957580566,96,220.01000000000002,1115.7800000000002,145008,72
1731,36081060100,372,-19666.67520904541,10841.352573394775,369,754.5999999999999,3959.290000000001,535724,266
1732,36081060300,423,-26985.729972839355,14875.581554412842,514,1121.9200000000003,5338.659999999997,735110,365
1733,36081060600,20,-443.74932861328125,244.5383071899414,10,12.020000000000001,52.62,12084,6
1734,36081060701,80,-1922.2420806884766,1059.8601760864258,43,95.22,462.35,52364,26
1735,36081060800,65,-1774.7098770141602,978.0862770080566,33,86.17,400.26,48336,24
1736,36081061200,56,-1330.6335067749023,733.9234313964844,23,32.56,184.38,36252,18
1737,36081061301,373,-20628.573066711426,11371.166175842285,423,904.65,4545.96,561906,279
1738,36081061400,65,-1330.435935974121,733.5500564575195,25,57.27999999999999,277.03999999999996,36252,18
1739,36081061601,23,-886.9551086425781,489.2412910461426,17,22.41,113.80000000000001,24168,12
1740,36081061602,86,-3548.861167907715,1956.0057907104492,59,153.16000000000003,752.1499999999999,96672,48
1741,36081061800,64,-1774.2544555664062,978.3746452331543,29,58.74999999999999,301.90000000000003,48336,24
1742,36081061900,254,-10719.863410949707,5910.568794250488,195,452.38000000000005,2070.6599999999994,292030,145
1743,36081062100,426,-29351.111068725586,16178.981605529785,604,1376.7000000000003,6405.559999999999,799558,397
1744,36081062200,146,-4436.710296630859,2445.1284255981445,82,162.07000000000002,803.73,120840,60
1745,36081062300,185,-6063.022361755371,3340.793254852295,114,268.57,1263.6999999999998,165148,82
1746,36081062500,76,-1774.0752716064453,978.4748077392578,30,61.93999999999999,310.67999999999995,48336,24
1747,36081062600,45,-887.0530166625977,489.03654861450195,18,40.879999999999995,201.01,24168,12
1748,36081062700,112,-3105.078140258789,1711.5860786437988,70,137.58,648.43,84588,42
1749,36081062900,253,-10719.986938476562,5909.357200622559,221,407.04,2045.8000000000002,292030,145
1750,36081063000,44,-1330.9977951049805,733.4387054443359,35,65.72,272.85,36252,18
1751,36081063200,16,-443.57386016845703,244.55968856811523,9,15.239999999999998,72.6,12084,6
1752,36081063301,105,-2661.4788513183594,1466.7014045715332,42,139.76000000000002,721.86,72504,36
1753,36081063302,138,-3548.565399169922,1956.315444946289,64,143.41000000000003,735.73,96672,48
1754,36081063500,269,-9759.316230773926,5379.379680633545,211,396.39000000000004,1916.3500000000001,265848,132
1755,36081063700,409,-28095.49008178711,15485.123165130615,545,1312.18,6172.72,765320,380
1756,36081063800,177,-4805.871208190918,2649.533519744873,92,206.85,1023.7099999999999,130910,65
1757,36081063900,376,-20700.759384155273,11410.624710083008,395,924.0000000000001,4373.77,563920,280
1758,36081064101,279,-9389.066940307617,5175.961128234863,186,380.2399999999999,2014.9599999999996,255778,127
1759,36081064102,461,-33787.26509857178,18623.535438537598,646,1347.1799999999994,6568.310000000001,920398,457
1760,36081064500,497,-68461.08957672119,37740.817974090576,1314,2661.289999999999,13659.879999999997,1864964,926
1761,36081065000,35,-887.2918014526367,489.20597076416016,17,41.5,183.32999999999998,24168,12
1762,36081065400,41,-1182.7230987548828,651.8150024414062,20,45.01,212.4,32224,16
1763,36081065501,102,-2661.366683959961,1467.4145545959473,58,127.78,586.16,72504,36
1764,36081065600,316,-13382.098007202148,7376.722454071045,270,547.53,2707.99,364534,181
1765,36081065702,278,-10719.906539916992,5909.073432922363,178,393.7099999999998,2012.85,292030,145
1766,36081065703,401,-20109.187004089355,11086.920314788818,397,792.4300000000001,3729.75,547808,272
1767,36081065900,57,-1330.5755767822266,733.8415031433105,29,37.910000000000004,199.04999999999998,36252,18
1768,36081066000,55,-1330.668586730957,733.578857421875,27,63.72,423.0,36252,18
1769,36081066100,91,-2736.0927658081055,1508.3465309143066,57,107.62,522.21,74518,37
1770,36081066300,122,-3548.4114532470703,1955.8262901306152,84,148.86999999999998,716.71,96672,48
1771,36081066400,126,-4879.541213989258,2690.626106262207,97,196.47,941.2800000000001,132924,66
1772,36081066501,125,-3770.742385864258,2078.7037086486816,72,178.68,825.98,102714,51
1773,36081066701,271,-11829.981887817383,6519.479766845703,221,499.5300000000001,2353.92,322240,160
1774,36081066900,217,-6062.921989440918,3342.6608810424805,120,260.88000000000005,1245.78,165148,82
1775,36081067100,379,-17226.107009887695,9496.985458374023,306,673.37,3451.8399999999997,469262,233
1776,36081067700,207,-7614.9871826171875,4197.421352386475,171,309.34,1464.41,207442,103
1777,36081067900,497,-77409.0560913086,42672.985454559326,1459,3267.920000000002,15567.579999999996,2108658,1047
1778,36081068000,21,-443.51499938964844,244.76470184326172,6,14.48,65.5,12084,6
1779,36081068300,504,-5875886.995872498,3239166.8192367554,114206,242851.94,1178460.58,160064664,79476
1780,36081068700,484,-93822.99597930908,51717.07931137085,1870,3749.9999999999995,18369.879999999997,2555766,1269
1781,36081069000,107,-3104.715774536133,1711.9266967773438,52,119.46999999999998,584.23,84588,42
1782,36081069300,504,-1825189.8080368042,1006171.5484275818,35444,75080.72999999997,363583.07999999996,49719618,24687
1783,36081069400,34,-887.2810134887695,489.10733795166016,17,52.64999999999999,220.43,24168,12
1784,36081069500,298,-10129.318099975586,5583.987010955811,191,427.13000000000017,2208.4000000000005,275918,137
1785,36081069701,493,-88720.82386779785,48909.04650878906,1747,3645.4199999999996,17524.300000000003,2416800,1200
1786,36081069702,427,-27355.002265930176,15081.22866821289,554,1106.3500000000008,5221.289999999999,745180,370
1787,36081070300,499,-76965.77795410156,42425.78377914429,1504,3241.0099999999998,15507.359999999999,2096574,1041
1788,36081070700,458,-34895.166564941406,19235.522945404053,670,1381.38,6750.590000000001,950608,472
1789,36081070900,438,-29647.24087524414,16342.537212371826,588,1228.06,5818.51,807614,401
1790,36081071100,443,-42657.58415222168,23518.825733184814,874,1684.6000000000006,8113.23,1162078,577
1791,36081071303,504,-230530.0129699707,127078.43316268921,4435,9404.279999999995,45501.69,6279652,3118
1792,36081071304,504,-272592.3083496094,150265.80200576782,5355,11147.610000000006,55300.63000000002,7425618,3687
1793,36081071305,502,-152449.6833114624,84037.49242782593,3009,6300.569999999997,30245.270000000008,4152868,2062
1794,36081071306,500,-100031.32335662842,55146.762897491455,1930,4213.8099999999995,19955.33999999999,2724942,1353
1795,36081071600,504,-194890.17093658447,107432.85273742676,3865,8159.88,39338.67,5308904,2636
1796,36081071701,504,-332923.4066390991,183538.75873184204,6498,13995.840000000004,66653.78000000001,9069042,4503
1797,36081071702,504,-1278076.4119491577,704555.5290718079,24923,53128.91999999999,255968.11000000007,34816018,17287
1798,36081071900,466,-42288.40319061279,23314.0823097229,877,1596.06,8044.699999999998,1152008,572
1799,36081072100,408,-26098.737007141113,14388.909805297852,510,999.5099999999995,4913.11,710942,353
1800,36081072300,347,-15969.602912902832,8803.235652923584,291,690.9300000000001,3372.0600000000004,435024,216
1801,36081072900,402,-23437.609214782715,12918.801429748535,427,1060.7199999999998,5412.420000000001,638438,317
1802,36081073100,412,-30904.071228027344,17035.810428619385,589,1328.0299999999993,6325.049999999998,841852,418
1803,36081073700,504,-1688854.156906128,930980.1372947693,32984,69501.06000000003,337587.3799999999,46005802,22843
1804,36081073900,504,-9625133.744026184,5305900.047142029,186680,399401.2299999999,1931335.9400000004,262196618,130187
1805,36081074100,492,-65208.53941345215,35949.74828720093,1182,2698.989999999999,12720.769999999995,1776348,882
1806,36081074300,499,-119990.77941131592,66145.63567352295,2379,5278.249999999996,24961.700000000008,3268722,1623
1807,36081074500,495,-102396.68244934082,56446.969329833984,1917,4068.0,20254.88000000001,2789390,1385
1808,36081074700,406,-21662.944244384766,11941.213897705078,427,936.8399999999998,4435.4400000000005,590102,293
1809,36081074900,279,-10645.759735107422,5869.953830718994,211,421.9599999999999,2058.44,290016,144
1810,36081075701,504,-167752.79888153076,92476.40183258057,3238,7015.629999999999,33677.32000000001,4569766,2269
1811,36081075702,469,-49314.59951019287,27184.433876037598,929,2033.22,9562.919999999998,1343338,667
1812,36081076901,504,-176109.65419006348,97082.99084472656,3367,7333.3099999999995,35369.73,4797348,2382
