,GEOID,STATE,COUNTY,TRACT,LAT,LON
1218,36047016500,36,047,16500,40.6699732,-73.9740433
1219,36047016600,36,047,16600,40.6187031,-74.0162624
1220,36047016700,36,047,16700,40.6642969,-73.9787754
1221,36047016800,36,047,16800,40.6032351,-74.0168695
1222,36047016900,36,047,16900,40.6592927,-73.9812838
1223,36047017000,36,047,17000,40.6101331,-74.012634
1224,36047017100,36,047,17100,40.6569654,-73.9768592
1225,36047017200,36,047,17200,40.6088823,-74.0103463
1226,36047017400,36,047,17400,40.6035123,-74.012107
1227,36047017500,36,047,17500,40.6521348,-73.9902393
1228,36047017600,36,047,17600,40.6019273,-74.0088041
1229,36047017700,36,047,17700,40.6594272,-73.9695588
1230,36047017800,36,047,17800,40.6069686,-74.0047234
1231,36047017900,36,047,17900,40.6842454,-73.9713339
1232,36047018000,36,047,18000,40.6083001,-74.0071512
1233,36047018100,36,047,18100,40.687775,-73.9723679
1234,36047018200,36,047,18200,40.6124597,-74.0026813
1235,36047018300,36,047,18300,40.691376,-73.9714779
1236,36047018400,36,047,18400,40.6137054,-74.0071447
1237,36047018501,36,047,18501,40.6946997,-73.9741388
1238,36047018600,36,047,18600,40.6156439,-74.0051063
1239,36047018700,36,047,18700,40.6945722,-73.970621
1240,36047018800,36,047,18800,40.6174779,-74.00274
1241,36047019000,36,047,19000,40.621038,-74.0003857
1242,36047019100,36,047,19100,40.695237,-73.9643647
1243,36047019200,36,047,19200,40.6284585,-73.9989281
1244,36047019300,36,047,19300,40.6912795,-73.9626407
1245,36047019400,36,047,19400,40.6258369,-74.0011077
1246,36047019500,36,047,19500,40.6914101,-73.9674998
1247,36047019600,36,047,19600,40.6234234,-74.004185
1248,36047019700,36,047,19700,40.6880023,-73.9667468
1249,36047019800,36,047,19800,40.6193594,-74.0066177
1250,36047019900,36,047,19900,40.6840329,-73.9669265
1251,36047020000,36,047,20000,40.620689,-74.0088197
1252,36047020100,36,047,20100,40.6838477,-73.9633875
1253,36047020200,36,047,20200,40.62202,-74.0110215
1254,36047020300,36,047,20300,40.6799568,-73.9648123
1255,36047020400,36,047,20400,40.6233502,-74.0132239
1256,36047020500,36,047,20500,40.6774755,-73.9657037
1257,36047020600,36,047,20600,40.6248828,-74.0154401
1258,36047020700,36,047,20700,40.6749426,-73.9666236
1259,36047020800,36,047,20800,40.6259761,-74.0097675
1260,36047021000,36,047,21000,40.6276261,-74.0081561
1261,36047021100,36,047,21100,40.6970778,-73.9750471
1262,36047021200,36,047,21200,40.6294745,-74.0058501
1263,36047021300,36,047,21300,40.6683548,-73.9604674
1264,36047021400,36,047,21400,40.6316104,-74.0031816
1265,36047021500,36,047,21500,40.673364,-73.963332
1266,36047021600,36,047,21600,40.6327947,-73.9997692
1267,36047021700,36,047,21700,40.6727657,-73.9590257
